263,1872,965,1849,966,1909,265,1923,
224,1788,844,1794,844,1834,224,1828,
313,1741,758,1750,757,1790,313,1781,
81,1702,987,1702,987,1742,81,1742,
79,1657,987,1657,987,1698,79,1698,
79,1607,989,1613,989,1656,79,1649,
199,1359,865,1359,865,1405,199,1405,
840,1291,1011,1291,1011,1339,840,1339,
266,1291,515,1291,515,1339,266,1339,
840,1227,1009,1227,1009,1269,840,1269,
322,1214,520,1221,518,1275,320,1268,
248,1142,521,1142,521,1188,248,1188,
212,1070,517,1070,517,1116,212,1116,
827,1064,1008,1069,1006,1125,826,1120,
862,966,1003,966,1003,1008,862,1008,
314,956,522,960,520,1014,312,1010,
576,870,714,870,714,910,576,910,
861,863,1008,868,1006,916,859,911,
146,866,262,866,262,908,146,908,
63,806,610,806,610,858,63,858,
842,732,997,732,997,780,842,780,
526,719,718,724,717,778,525,773,
199,722,271,722,271,776,199,776,
342,629,612,629,612,675,342,675,
67,627,281,627,281,673,67,673,
339,553,689,564,688,610,338,599,
66,554,250,546,252,601,68,608,
343,479,760,489,759,535,342,525,
66,480,201,474,203,525,68,530,
432,396,793,411,791,458,430,442,
261,400,431,390,434,440,264,450,
111,296,945,321,943,381,110,356,
144,248,912,281,909,350,141,316,
300,195,757,226,753,286,296,255,
312,127,749,160,744,220,307,187,
